,cluster,source_id,tf_name,family_name,motif_type,PMID,cluster_annotation
43,AC0007,MA0908.2,HOXD11,Homeo domain factors,Unknown,18585359,Homeo domain factors
44,AC0007,MA1503.2,HOXB9,Homeo domain factors,Unknown,18585359,Homeo domain factors
45,AC0007,MA1506.2,HOXD10,Homeo domain factors,Unknown,18585359,Homeo domain factors
46,AC0008,MA0108.3,TBP,TATA-binding proteins,Unknown,2329577,TATA-binding proteins
47,AC0009,MA0077.2,SOX9,High-mobility group (HMG) domain factors,Unknown,9973626,High-mobility group (HMG) domain factors
48,AC0009,MA0084.2,SRY,High-mobility group (HMG) domain factors,Unknown,8190643,High-mobility group (HMG) domain factors
49,AC0009,MA0143.5,SOX2,High-mobility group (HMG) domain factors,Unknown,15863505,High-mobility group (HMG) domain factors
50,AC0009,MA0866.1,SOX21,High-mobility group (HMG) domain factors,Unknown,12920151,High-mobility group (HMG) domain factors
51,AC0009,MA0867.3,SOX4,High-mobility group (HMG) domain factors,Unknown,17599239,High-mobility group (HMG) domain factors
52,AC0009,MA0868.3,SOX8,High-mobility group (HMG) domain factors,Unknown,17599239,High-mobility group (HMG) domain factors
53,AC0009,MA1120.2,SOX13,High-mobility group (HMG) domain factors,Unknown,27521520,High-mobility group (HMG) domain factors
54,AC0009,MA1152.2,SOX15,High-mobility group (HMG) domain factors,Unknown,15863505,High-mobility group (HMG) domain factors
55,AC0009,MA1562.2,SOX14,High-mobility group (HMG) domain factors,Unknown,17852354,High-mobility group (HMG) domain factors
56,AC0009,MA1563.2,SOX18,High-mobility group (HMG) domain factors,Unknown,7651823,High-mobility group (HMG) domain factors
57,AC0010,MA0442.3,SOX10,High-mobility group (HMG) domain factors,Unknown,17916232,High-mobility group (HMG) domain factors
58,AC0011,MA1561.2,SOX12,High-mobility group (HMG) domain factors,Unknown,18403418,High-mobility group (HMG) domain factors
59,AC0012,MA0052.5,MEF2A,MADS box factors,Unknown,25217591,MADS box factors
60,AC0012,MA0497.2,MEF2C,MADS box factors,Unknown,7559475,MADS box factors
61,AC0012,MA0660.1,MEF2B,MADS box factors,Unknown,9430690,MADS box factors
62,AC0012,MA0773.1,MEF2D,MADS box factors,Unknown,25217591,MADS box factors
63,AC0013,MA0507.3,POU2F2,Homeo domain factors,Unknown,11937630,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
64,AC0013,MA0627.3,POU2F3,Homeo domain factors,Unknown,28473536,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
65,AC0013,MA0784.3,POU1F1,Homeo domain factors,Unknown,2350782,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
66,AC0013,MA0785.2,POU2F1,Homeo domain factors,Unknown,1361172,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
67,AC0013,MA0786.2,POU3F1,Homeo domain factors,Unknown,1361172,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
68,AC0013,MA0787.1,POU3F2,Homeo domain factors,Unknown,9852081,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
